Anlagenschlüssel;Übertragungsnetzbetreiber;Netzbetreiber;Netzbetreiber Betriebsnummer;Energieträger;Einspeisungsebene;Leistung;Leistungsgemessene Anlage;Zeitreihentyp;Regelbarkeit;Biomasse KWK-Anteil;Biomassetechnologie;Zeitpunkt der Inbetriebnahme;Zeitpunkt der Ausserbetriebnahme;Zeitpunkt des Netzzugangs;Zeitpunkt des Netzabgangs;Bundeslandkürzel;Ort;Ortsteil;PLZ;Strasse;Nummer;Flur;Flurstück;Quelle
E41081010000000000000000000149098;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;MS;64;;SOL;;;;09.12.2009;;;;SN;Leipzig;Althen-Kleinpösna;04319;An der Weide;1;;;MitNetz.pdf
E41081010000000000000000000149110;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;MS;140;;SOL;;;;09.12.2009;;;;SN;Leipzig;Althen-Kleinpösna;04319;An der Weide;1;;;MitNetz.pdf
E41081010000000000000000000149111;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;MS;24;;SOL;;;;09.12.2009;;;;SN;Leipzig;Althen-Kleinpösna;04319;An der Weide;1;;;MitNetz.pdf
E41081010000000000000000000149114;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;MS;38;;SOL;;;;09.12.2009;;;;SN;Leipzig;Althen-Kleinpösna;04319;An der Weide;1;;;MitNetz.pdf
E41081010000000000000000000149115;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;MS;28;;SOL;;;;09.12.2009;;;;SN;Leipzig;Althen-Kleinpösna;04319;An der Weide;1;;;MitNetz.pdf
E41081010000000000000000000149117;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;MS;22;;SOL;;;;09.12.2009;;;;SN;Leipzig;Althen-Kleinpösna;04319;An der Weide;1;;;MitNetz.pdf
E41081010000000000000000000149118;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;MS;25;;SOL;;;;09.12.2009;;;;SN;Leipzig;Althen-Kleinpösna;04319;An der Weide;1;;;MitNetz.pdf
E41081010000000000000000000149119;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;MS;140;;SOL;;;;09.12.2009;;;;SN;Leipzig;Althen-Kleinpösna;04319;An der Weide;1;;;MitNetz.pdf
E41081010000000000000000000149120;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;MS;85;;SOL;;;;09.12.2009;;;;SN;Leipzig;Althen-Kleinpösna;04319;An der Weide;1;;;MitNetz.pdf
E41081010000000000000000000149121;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;MS;101;;SOL;;;;09.12.2009;;;;SN;Leipzig;Althen-Kleinpösna;04319;An der Weide;1;;;MitNetz.pdf
E41081010000000000000000000140692;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;2;;SOP;;;;04.08.2009;;;;SN;Leipzig;Althen-Kleinpösna;04319;Sonnengasse;22;;;MitNetz.pdf
E41081010000000000000000000141091;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;9;;SOP;;;;04.11.2009;;;;SN;Leipzig;Engelsdorf;04319;Ernst-Guhr-Str.;10;;;MitNetz.pdf
E41081010000000000000000000141457;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;MS;400;;SOL;;;;29.06.2010;;;;SN;Leipzig;Böhlitz-Ehrenberg;04178;Wittestr.;7;;;MitNetz.pdf
E41081010000000000000000000150978;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;MS;400;;SOL;;;;29.06.2010;;;;SN;Leipzig;Böhlitz-Ehrenberg;04178;Wittestr.;7;;;MitNetz.pdf
E41081010000000000000000000141754;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;7;;SOP;;;;30.09.2009;;;;SN;Leipzig;Böhlitz-Ehrenberg;04178;Waldblick;1;;;MitNetz.pdf
E41081010000000000000000000141820;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;6;;SOP;;;;14.10.2009;;;;SN;Leipzig;Wiederitzsch;04158;Zum Feld;6;;;MitNetz.pdf
